,index,label
6943,B25011_003E,Estimate!!Total:!!Owner occupied:!!Family households:
6938,B25011_004E,Estimate!!Total:!!Owner occupied:!!Family households:!!Married-couple family:
6952,B25011_005E,Estimate!!Total:!!Owner occupied:!!Family households:!!Married-couple family:!!Householder 15 to 34 years
6946,B25011_006E,Estimate!!Total:!!Owner occupied:!!Family households:!!Married-couple family:!!Householder 35 to 64 years
6930,B25011_007E,Estimate!!Total:!!Owner occupied:!!Family households:!!Married-couple family:!!Householder 65 years and over
6928,B25011_008E,Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:
6934,B25011_009E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:"
6924,B25011_010E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 15 to 34 years"
6909,B25011_011E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 35 to 64 years"
6907,B25011_012E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 65 years and over"
6915,B25011_013E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:"
6912,B25011_014E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 15 to 34 years"
6856,B25011_015E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 35 to 64 years"
6850,B25011_016E,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 65 years and over"
6867,B25011_017E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:
6861,B25011_018E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder living alone:
6839,B25011_019E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder living alone:!!Householder 15 to 34 years
6829,B25011_020E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder living alone:!!Householder 35 to 64 years
6834,B25011_021E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder living alone:!!Householder 65 years and over
6831,B25011_022E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder not living alone:
6821,B25011_023E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder not living alone:!!Householder 15 to 34 years
6818,B25011_024E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder not living alone:!!Householder 35 to 64 years
6828,B25011_025E,Estimate!!Total:!!Owner occupied:!!Nonfamily households:!!Householder not living alone:!!Householder 65 years and over
6824,B25011_026E,Estimate!!Total:!!Renter occupied:
6778,B25011_027E,Estimate!!Total:!!Renter occupied:!!Family households:
6773,B25011_028E,Estimate!!Total:!!Renter occupied:!!Family households:!!Married-couple family:
6785,B25011_029E,Estimate!!Total:!!Renter occupied:!!Family households:!!Married-couple family:!!Householder 15 to 34 years
6705,B25011_030E,Estimate!!Total:!!Renter occupied:!!Family households:!!Married-couple family:!!Householder 35 to 64 years
6751,B25011_031E,Estimate!!Total:!!Renter occupied:!!Family households:!!Married-couple family:!!Householder 65 years and over
6747,B25011_032E,Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:
6759,B25011_033E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:"
6755,B25011_034E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 15 to 34 years"
6729,B25011_035E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 35 to 64 years"
6725,B25011_036E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 65 years and over"
6741,B25011_037E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:"
6737,B25011_038E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 15 to 34 years"
6668,B25011_039E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 35 to 64 years"
6587,B25011_040E,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 65 years and over"
6596,B25011_041E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:
6593,B25011_042E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder living alone:
6629,B25011_043E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder living alone:!!Householder 15 to 34 years
6625,B25011_044E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder living alone:!!Householder 35 to 64 years
6641,B25011_045E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder living alone:!!Householder 65 years and over
6632,B25011_046E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder not living alone:
6615,B25011_047E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder not living alone:!!Householder 15 to 34 years
6610,B25011_048E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder not living alone:!!Householder 35 to 64 years
6620,B25011_049E,Estimate!!Total:!!Renter occupied:!!Nonfamily households:!!Householder not living alone:!!Householder 65 years and over
19183,B25012_001E,Estimate!!Total:
19208,B25012_002E,Estimate!!Total:!!Owner-occupied housing units:
19204,B25012_003E,Estimate!!Total:!!Owner-occupied housing units:!!With related children of the householder under 18:
19200,B25012_004E,Estimate!!Total:!!Owner-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:
19196,B25012_005E,Estimate!!Total:!!Owner-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:!!Under 6 years only
19224,B25012_006E,Estimate!!Total:!!Owner-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:!!Under 6 years and 6 to 17 years
19220,B25012_007E,Estimate!!Total:!!Owner-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:!!6 to 17 years
19214,B25012_008E,Estimate!!Total:!!Owner-occupied housing units:!!With related children of the householder under 18:!!No own children of the householder under 18
19219,B25012_009E,Estimate!!Total:!!Owner-occupied housing units:!!No related children of the householder under 18
15207,B25012_010E,Estimate!!Total:!!Renter-occupied housing units:
15201,B25012_011E,Estimate!!Total:!!Renter-occupied housing units:!!With related children of the householder under 18:
15194,B25012_012E,Estimate!!Total:!!Renter-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:
15186,B25012_013E,Estimate!!Total:!!Renter-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:!!Under 6 years only
15233,B25012_014E,Estimate!!Total:!!Renter-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:!!Under 6 years and 6 to 17 years
15224,B25012_015E,Estimate!!Total:!!Renter-occupied housing units:!!With related children of the householder under 18:!!With own children of the householder under 18:!!6 to 17 years
15218,B25012_016E,Estimate!!Total:!!Renter-occupied housing units:!!With related children of the householder under 18:!!No own children of the householder under 18
15211,B25012_017E,Estimate!!Total:!!Renter-occupied housing units:!!No related children of the householder under 18
25042,B25013_001E,Estimate!!Total:
25049,B25013_002E,Estimate!!Total:!!Owner-occupied housing units:
25053,B25013_003E,Estimate!!Total:!!Owner-occupied housing units:!!Less than high school graduate
25056,B25013_004E,Estimate!!Total:!!Owner-occupied housing units:!!High school graduate (including equivalency)
25063,B25013_005E,Estimate!!Total:!!Owner-occupied housing units:!!Some college or associate's degree
25069,B25013_006E,Estimate!!Total:!!Owner-occupied housing units:!!Bachelor's degree or higher
25076,B25013_007E,Estimate!!Total:!!Renter-occupied housing units:
25071,B25013_008E,Estimate!!Total:!!Renter-occupied housing units:!!Less than high school graduate
25079,B25013_009E,Estimate!!Total:!!Renter-occupied housing units:!!High school graduate (including equivalency)
25179,B25013_010E,Estimate!!Total:!!Renter-occupied housing units:!!Some college or associate's degree
25186,B25013_011E,Estimate!!Total:!!Renter-occupied housing units:!!Bachelor's degree or higher
14426,B25014A_001E,Estimate!!Total:
14420,B25014A_002E,Estimate!!Total:!!1.00 or less occupants per room
14430,B25014A_003E,Estimate!!Total:!!1.01 or more occupants per room
21139,B25014B_001E,Estimate!!Total:
21126,B25014B_002E,Estimate!!Total:!!1.00 or less occupants per room
21131,B25014B_003E,Estimate!!Total:!!1.01 or more occupants per room
5317,B25014C_001E,Estimate!!Total:
5322,B25014C_002E,Estimate!!Total:!!1.00 or less occupants per room
5325,B25014C_003E,Estimate!!Total:!!1.01 or more occupants per room
11646,B25014D_001E,Estimate!!Total:
11669,B25014D_002E,Estimate!!Total:!!1.00 or less occupants per room
11666,B25014D_003E,Estimate!!Total:!!1.01 or more occupants per room
17240,B25014E_001E,Estimate!!Total:
17235,B25014E_002E,Estimate!!Total:!!1.00 or less occupants per room
17230,B25014E_003E,Estimate!!Total:!!1.01 or more occupants per room
16387,B25014F_001E,Estimate!!Total:
16399,B25014F_002E,Estimate!!Total:!!1.00 or less occupants per room
16394,B25014F_003E,Estimate!!Total:!!1.01 or more occupants per room
22944,B25014G_001E,Estimate!!Total:
22948,B25014G_002E,Estimate!!Total:!!1.00 or less occupants per room
22939,B25014G_003E,Estimate!!Total:!!1.01 or more occupants per room
352,B25014H_001E,Estimate!!Total:
323,B25014H_002E,Estimate!!Total:!!1.00 or less occupants per room
328,B25014H_003E,Estimate!!Total:!!1.01 or more occupants per room
12665,B25014I_001E,Estimate!!Total:
12670,B25014I_002E,Estimate!!Total:!!1.00 or less occupants per room
12655,B25014I_003E,Estimate!!Total:!!1.01 or more occupants per room
5807,B25014_001E,Estimate!!Total:
5803,B25014_002E,Estimate!!Total:!!Owner occupied:
5805,B25014_003E,Estimate!!Total:!!Owner occupied:!!0.50 or less occupants per room
5949,B25014_004E,Estimate!!Total:!!Owner occupied:!!0.51 to 1.00 occupants per room
5950,B25014_005E,Estimate!!Total:!!Owner occupied:!!1.01 to 1.50 occupants per room
5945,B25014_006E,Estimate!!Total:!!Owner occupied:!!1.51 to 2.00 occupants per room
5944,B25014_007E,Estimate!!Total:!!Owner occupied:!!2.01 or more occupants per room
5947,B25014_008E,Estimate!!Total:!!Renter occupied:
5942,B25014_009E,Estimate!!Total:!!Renter occupied:!!0.50 or less occupants per room
5894,B25014_010E,Estimate!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room
5898,B25014_011E,Estimate!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room
5886,B25014_012E,Estimate!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room
5890,B25014_013E,Estimate!!Total:!!Renter occupied:!!2.01 or more occupants per room
12084,B25015_001E,Estimate!!Total:
12086,B25015_002E,Estimate!!Total:!!Owner occupied:
12071,B25015_003E,Estimate!!Total:!!Owner occupied:!!Householder 15 to 34 years:
12073,B25015_004E,Estimate!!Total:!!Owner occupied:!!Householder 15 to 34 years:!!1.00 or less occupants per room
12075,B25015_005E,Estimate!!Total:!!Owner occupied:!!Householder 15 to 34 years:!!1.01 to 1.50 occupants per room
12077,B25015_006E,Estimate!!Total:!!Owner occupied:!!Householder 15 to 34 years:!!1.51 or more occupants per room
12079,B25015_007E,Estimate!!Total:!!Owner occupied:!!Householder 35 to 64 years:
12064,B25015_008E,Estimate!!Total:!!Owner occupied:!!Householder 35 to 64 years:!!1.00 or less occupants per room
12066,B25015_009E,Estimate!!Total:!!Owner occupied:!!Householder 35 to 64 years:!!1.01 to 1.50 occupants per room
12102,B25015_010E,Estimate!!Total:!!Owner occupied:!!Householder 35 to 64 years:!!1.51 or more occupants per room
11975,B25015_011E,Estimate!!Total:!!Owner occupied:!!Householder 65 years and over:
