,GEOID,park_no,common_nam,year_estab
2492,470370153004,183,Lytle Farm,2013
3599,470370154011,,,
227,470370154012,92,Andrew Jackson School Playground,2002
2658,470370154013,,,
4483,470370154021,,,
1991,470370154022,,,
686,470370154023,,,
2624,470370154024,111,Hermitage School Playground,2002
2624,470370154024,100,Stone Hall,2006
2624,470370154024,183,Lytle Farm,2013
2624,470370154024,192,Ravenwood,2015
3122,470370154041,,,
1533,470370154042,,,
3930,470370154043,110,Tulip Grove School Playground,2002
2659,470370154051,,,
4023,470370154052,,,
1780,470370155011,280,Stones River Greenway - Lebanon Pk to Dam,1999
1780,470370155011,282,Stones River Greenway - Lebanon Pk to Dam,2003
1780,470370155011,281,Stones River Greenway - Lebanon Pk to Dam,2003
1780,470370155011,284,Stones River Greenway - Lebanon Pk to Dam,2003
1780,470370155011,278,Stones River Greenway - Lebanon Pk to Dam,2005
589,470370155012,115,Hickman Elm School Playground,2002
589,470370155012,284,Stones River Greenway - Lebanon Pk to Dam,2003
589,470370155012,277,Stones River Greenway - Lebanon Pk to Dam,2003
589,470370155012,276,Stones River Greenway - Lebanon Pk to Dam,2003
589,470370155012,270,Stones River Greenway - Lebanon Pk to Dam,2003
589,470370155012,278,Stones River Greenway - Lebanon Pk to Dam,2005
589,470370155012,100,Stone Hall,2006
589,470370155012,183,Lytle Farm,2013
3278,470370155021,,,
172,470370155022,,,
93,470370155023,,,
1255,470370156091,107,Hermitage,1999
1141,470370156092,,,
690,470370156093,,,
4502,470370156131,253,Mill Creek Greenway - Ezell Park,2001
4502,470370156131,254,Mill Creek Greenway - Ezell Park,2001
1232,470370156132,,,
4208,470370156133,93,Ezell,1978
3129,470370156134,93,Ezell,1978
223,470370156141,,,
1374,470370156142,,,
178,470370156143,,,
1718,470370156151,,,
2490,470370156152,,,
2494,470370156153,,,
3500,470370156171,,,
2696,470370156172,,,
2695,470370156181,,,
1791,470370156182,124,Lakeview School Playground,2002
576,470370156183,,,
575,470370156184,,,
3434,470370156185,,,
685,470370156191,,,
812,470370156192,,,
3135,470370156193,,,
2694,470370156201,,,
1321,470370156202,,,
864,470370156203,,,
552,470370156221,,,
22,470370156222,,,
405,470370156223,,,
3962,470370156231,161,Dodson School Playground,2002
78,470370156232,,,
1398,470370156233,107,Hermitage,1999
1801,470370156241,,,
1302,470370156242,,,
3958,470370156243,,,
4399,470370156251,,,
4055,470370156252,,,
401,470370156253,,,
2479,470370156261,,,
689,470370156262,,,
2471,470370156263,,,
1301,470370156264,,,
1140,470370156271,94,Antioch,1950
1140,470370156271,251,Mill Creek Greenway - Blue Hole,2002
1140,470370156271,256,Mill Creek Greenway - Blue Hole,2002
1140,470370156271,257,Mill Creek Greenway - Blue Hole,2002
1140,470370156271,128,Moss School Playground,2002
1454,470370156272,185,Southeast Community Center,2014
692,470370156281,169,Antioch Tennis Courts,0
692,470370156281,94,Antioch,1950
692,470370156281,252,Mill Creek Greenway - Blue Hole,2002
692,470370156281,251,Mill Creek Greenway - Blue Hole,2002
692,470370156281,185,Southeast Community Center,2014
4080,470370156282,,,
299,470370156283,,,
144,470370156291,,,
2483,470370156292,,,
688,470370156293,,,
1615,470370156294,,,
128,470370156301,,,
770,470370156302,,,
2484,470370156303,,,
2475,470370156321,,,
289,470370156322,,,
3433,470370156323,275,Stones River Greenway - Alta Lake,2000
3433,470370156323,283,Stones River Greenway - Alta Lake,2000
4000,470370156331,158,Ruby Major School Playground,2002
3992,470370156332,,,
1107,470370156341,,,
782,470370156342,,,
2498,470370156343,,,
4345,470370156344,142,Mt. View School Playground,2002
4220,470370156351,,,
3961,470370156361,,,
402,470370156362,,,
2470,470370156371,101,Hamilton Creek,1980
2470,470370156371,150,Una School Playground,2002
2470,470370156371,97,Una,2007
121,470370156372,,,
1181,470370156373,,,
2837,470370157001,90,Seven Oaks,1963
2837,470370157001,180,Whitsett,2013
3858,470370158041,,,
694,470370158042,,,
3131,470370158043,,,
420,470370158051,,,
421,470370158052,,,
1235,470370158053,180,Whitsett,2013
2499,470370158061,,,
944,470370158062,,,
3850,470370158063,180,Whitsett,2013
3507,470370159001,,,
3128,470370159002,,,
976,470370160001,65,Dudley,1913
976,470370160001,74,Napier,1913
976,470370160001,109,City Cemetery,1963
976,470370160001,73,Mildred Shute,1983
699,470370161001,58,Fort Negley,1928
699,470370161001,164,Fall-Hamilton School Playground,2002
3337,470370161002,,,
557,470370162001,47,Reservoir,1914
557,470370162001,45,Rose,1960
148,470370162002,48,Neil,1981
2489,470370162003,45,Rose,1960
2656,470370163001,41,Tony Rose,1975
2656,470370163001,40,Flora Wilson,2012
2657,470370163002,,,
556,470370164001,,,
73,470370164002,,,
2500,470370164003,,,
555,470370165001,37,Centennial,1903
2655,470370165002,,,
2654,470370166001,,,
1008,470370166002,,,
414,470370166003,37,Centennial,1903
1535,470370167001,,,
137,470370167002,,,
3501,470370167003,262,Richland Creek Creenway - White Bridge Connector,2006
1698,470370167004,17,Elmington,1927
3281,470370167005,,,
1029,470370168001,34,St. Bernard,1996
1082,470370168002,31,Dragon,1978
577,470370168003,,,
4371,470370169001,,,
2665,470370169002,,,
798,470370169003,,,
2677,470370169004,,,
857,470370169005,,,
3573,470370170001,48,Neil,1981
1467,470370170002,,,
2666,470370170003,,,
19,470370171001,,,
921,470370171002,42,Sevier,1945
921,470370171002,171,Gale Lane,2013
4397,470370172001,,,
3931,470370172002,,,
2699,470370173001,146,Whitsett School Playground,2002
174,470370173002,75,Coleman,1939
868,470370173003,,,
4475,470370174011,75,Coleman,1939
1331,470370174012,,,
2625,470370174021,,,
407,470370174022,,,
2482,470370174023,,,
3502,470370174024,123,Glencliff Tennis Courts,0
3502,470370174024,122,Glencliff School Playground,2002
3695,470370175001,68,Turner School,2006
2700,470370175002,,,
2689,470370175003,,,
3838,470370177011,,,
3133,470370177012,,,
295,470370177021,148,Hillsboro Tennis Courts,0
295,470370177021,32,Green Hills,1973
1160,470370177022,,,
3469,470370178001,194,Browns Creek Park,2012
800,470370178002,194,Browns Creek Park,2012
1918,470370178003,,,
1078,470370178004,,,
695,470370178005,30,Sally Beaman,1999
201,470370179011,,,
693,470370179012,155,Julia Green School Playground,2002
4126,470370179013,,,
2670,470370179014,,,
4473,470370179021,,,
1061,470370179022,,,
3837,470370179023,32,Green Hills,1973
561,470370180001,,,
165,470370180002,,,
2633,470370180003,12,Woodmont,1988
1046,470370180004,259,Richland Creek Creenway - White Bridge Connector,2006
1046,470370180004,262,Richland Creek Creenway - White Bridge Connector,2006
3927,470370180005,,,
2669,470370181011,23,McCabe,1938
1182,470370181012,,,
238,470370181013,,,
3470,470370181021,,,
3995,470370181022,23,McCabe,1938
3995,470370181022,266,Richland Creek Creenway - Lion's Head Connector,2004
3995,470370181022,267,Richland Creek Creenway -McCabe Loop,2004
3995,470370181022,263,Richland Creek Creenway - White Bridge Connector,2006
3995,470370181022,264,Richland Creek Creenway - White Bridge Connector,2006
3995,470370181022,265,Richland Creek Creenway - White Bridge Connector,2006
3995,470370181022,262,Richland Creek Creenway - White Bridge Connector,2006
3995,470370181022,268,Richland Creek Creenway - Knob Road Connector,2010
700,470370181023,119,Hillwood School Tennis Courts,0
563,470370182011,6,H. G. Hill,2012
1362,470370182012,,,
4277,470370182013,,,
1578,470370182031,,,
696,470370182032,,,
254,470370182041,,,
404,470370182042,,,
2485,470370182051,,,
3770,470370182052,,,
403,470370182053,,,
3854,470370183021,,,
1286,470370183031,,,
3273,470370183032,132,Brookmeade,2003
2496,470370183041,243,Harpeth River Greenway - River Walk,2006
2496,470370183041,242,Harpeth River Greenway - River Walk,2006
2496,470370183041,244,Harpeth River Greenway - River Walk,2006
2496,470370183041,248,Harpeth River Greenway - River Walk,2006
2496,470370183041,245,Harpeth River Greenway - River Walk,2006
2496,470370183041,247,Harpeth River Greenway - River Walk,2006
2496,470370183041,246,Harpeth River Greenway - River Walk,2006
1934,470370183042,,,
3126,470370184041,5,Edwin Warner,1937
415,470370184042,,,
3581,470370184043,,,
2486,470370184044,7,Percy Warner,1926
2486,470370184044,5,Edwin Warner,1937
2631,470370184051,,,
2629,470370184052,5,Edwin Warner,1937
2629,470370184052,1,Harpeth Knoll,1972
2629,470370184052,235,Harpeth River Greenway - Warner - Warner Exchange,2008
2629,470370184052,236,Harpeth River Greenway - Warner - Harpeth Bend,2013
2629,470370184052,249,Harpeth River Greenway - Warner - Harpeth Bend,2013
2629,470370184052,237,Harpeth River Greenway - Warner - Harpeth Valley,2013
773,470370184053,238,Harpeth River Greenway - Warner - Morton Mill,1995
773,470370184053,236,Harpeth River Greenway - Warner - Harpeth Bend,2013
773,470370184053,237,Harpeth River Greenway - Warner - Harpeth Valley,2013
789,470370184071,238,Harpeth River Greenway - Warner - Morton Mill,1995
789,470370184071,234,Harpeth River Greenway - Warner - Morton Mill,1995
789,470370184071,250,Harpeth River Greenway - Warner - Morton Mill,1995
789,470370184071,239,Harpeth River Greenway - Warner - Harpeth Crest,2013
3127,470370184072,240,Harpeth River Greenway - Harpeth Springs,2013
3127,470370184072,241,Harpeth River Greenway - Harpeth Springs,2013
4079,470370184081,154,Harpeth School Playground,2002
4411,470370184082,,,
1007,470370184091,,,
1109,470370184092,0,Harpeth River,1988
2497,470370184093,,,
1317,470370184101,127,Bellevue Tennis Courts,0
1317,470370184101,2,Red Caboose,1982
1288,470370184102,,,
1487,470370184111,,,
2474,470370184112,,,
3207,470370184121,,,
411,470370184122,,,
419,470370184123,,,
2692,470370185001,,,
1350,470370185002,15,Parmer,1988
825,470370185003,7,Percy Warner,1926
2691,470370185004,7,Percy Warner,1926
3283,470370185005,,,
4050,470370185006,,,
2671,470370186011,,,
2690,470370186012,7,Percy Warner,1926
2690,470370186012,5,Edwin Warner,1937
567,470370186021,,,
1437,470370186022,138,Percy Priest School Playground,2002
1158,470370186023,,,
2672,470370186024,,,
1230,470370187001,152,Overton Tennis Courts,0
4047,470370187002,,,
2698,470370187003,,,
2701,470370188011,56,Crieve Hall School Playground,2002
4024,470370188012,,,
566,470370188013,,,
890,470370188014,,,
4293,470370188015,271,Seven Mile Creek Greenway - Ellington Ag,2008
2481,470370188016,165,Edmonson Library Playground,2002
2481,470370188016,271,Seven Mile Creek Greenway - Ellington Ag,2008
1183,470370188031,,,
1613,470370188032,168,Granbery School Tennis Courts,0
1613,470370188032,44,Granbery,1979
3694,470370188041,,,
3957,470370188042,,,
409,470370188043,,,
579,470370189011,,,
3697,470370189012,77,Grassmere,0
162,470370189021,125,Norman Binkley School Playground,2002
2702,470370189022,,,
1177,470370189023,62,Caldwell,2007
2703,470370189041,,,
818,470370189042,,,
1012,470370189043,140,Mcmurray Tennis Courts,0
1012,470370189043,139,Tusculum School Playground,2002
1217,470370189051,,,
3125,470370189052,78,Whitfield,1978
3125,470370189052,271,Seven Mile Creek Greenway - Ellington Ag,2008
2637,470370190031,,,
4039,470370190032,,,
1392,470370190033,126,Haywood School Playground,2002
2636,470370190034,,,
2019,470370190041,,,
3257,470370190042,,,
590,470370190043,,,
410,470370190071,85,Paragon Mills,1973
410,470370190071,272,Seven Mile Creek Greenway - Harding Mall,2008
1187,470370190081,145,Paragon Mills School Playground,2002
1187,470370190081,86,Providence,2003
261,470370190082,,,
145,470370190083,,,
1110,470370190084,85,Paragon Mills,1973
4271,470370191051,,,
580,470370191052,,,
416,470370191053,,,
413,470370191054,,,
962,470370191055,,,
2839,470370191061,,,
1139,470370191062,,,
3964,470370191063,,,
827,470370191081,,,
574,470370191082,,,
952,470370191091,,,
1206,470370191092,141,Cole School Playground,2002
1648,470370191093,,,
1207,470370191101,87,Pitts,1982
1594,470370191102,,,
163,470370191103,,,
4128,470370191111,,,
3836,470370191112,,,
1258,470370191113,,,
2011,470370191121,162,Maxwell School Playground,2002
2040,470370191122,286,Mill Creek Greenway - Whittimore Branch,2002
687,470370191151,,,
3799,470370191152,160,Shayne School Playground,2002
4488,470370191161,,,
417,470370191162,,,
1108,470370191163,,,
2838,470370191171,98,Crawford,1971
3815,470370191172,98,Crawford,1971
2495,470370191181,258,Mill Creek Greenway-Rivendell,2015
3123,470370191182,,,
1229,470370191183,,,
1640,470370191191,102,Cane Ridge,1983
2472,470370191192,,,
2473,470370191193,,,
1076,470370191201,,,
2476,470370191202,182,Mill Creek,2013
2476,470370191202,255,Mill Creek Greenway - Mill Creek Park,2014
2476,470370191202,261,Mill Creek Greenway - Mill Creek Park,2014
2476,470370191202,260,Mill Creek Greenway - Mill Creek Park,2014
3848,470370191211,,,
77,470370191212,182,Mill Creek,2013
2663,470370192001,70,East Park,1916
2664,470370192002,,,
90,470370192003,,,
1231,470370192004,51,Kirkpatrick,1963
4056,470370193001,81,Shelby,1912
4056,470370193001,70,East Park,1916
4056,470370193001,63,Cumberland,2012
1342,470370193002,51,Kirkpatrick,1963
3963,470370194011,38,Hope Gardens,2000
3963,470370194011,193,Cumberland River Greenway - Bicentennial Connector,2001
3963,470370194011,191,Cumberland River Greenway - Bicentennial Connector,2001
3963,470370194011,229,Cumberland River Greenway - Bicentennial Connector,2001
3963,470370194011,228,Cumberland River Greenway - Bicentennial Connector,2001
3963,470370194011,196,Cumberland River Greenway - Downtown,2008
861,470370194012,108,Monroe,1984
3332,470370194021,,,
993,470370194022,39,Morgan,1910
993,470370194022,197,Cumberland River Greenway - Downtown,2008
993,470370194022,198,Cumberland River Greenway - Downtown,2008
993,470370194022,200,Cumberland River Greenway - Downtown,2008
993,470370194022,202,Cumberland River Greenway - Downtown,2008
993,470370194022,201,Cumberland River Greenway - Downtown,2008
993,470370194022,199,Cumberland River Greenway - Downtown,2008
993,470370194022,224,Cumberland River Greenway - Downtown,2008
993,470370194022,208,Cumberland River Greenway - Downtown,2008
993,470370194022,223,Cumberland River Greenway - Downtown,2008
993,470370194022,210,Cumberland River Greenway - Downtown,2008
993,470370194022,207,Cumberland River Greenway - Downtown,2008
995,470370195011,,,
34,470370195012,26,Owen Bradley,1975
1212,470370195013,,,
943,470370195021,,,
2478,470370195022,189,Gulch Greenway,2012
2478,470370195022,190,Gulch Greenway,2015
164,470370195023,,,
2488,470370195031,46,Church Street,2001
1281,470370195032,55,Fort Nashborough,1930
1281,470370195032,53,Bicentennial,1977
1281,470370195032,59,Riverfront,1983
1281,470370195032,54,Commerce Center,2000
1281,470370195032,231,Cumberland River Greenway - Downtown,2001
1281,470370195032,230,Cumberland River Greenway - Downtown,2001
1281,470370195032,233,Cumberland River Greenway - Downtown,2001
1281,470370195032,49,Public Square,2006
929,470370195033,59,Riverfront,1983
929,470370195033,50,Walk of Fame,2005
929,470370195033,273,Cumberland River Greenway - Rolling Mill Hill,2013
929,470370195033,269,Cumberland River Greenway - Rolling Mill Hill,2013
929,470370195033,184,Ascend Amphitheater,2015
2622,470370196001,,,
3597,470370196002,,,
1371,470370196003,,,
4308,470379801001,254,Mill Creek Greenway - Ezell Park,2001
4308,470379801001,120,Soccer Complex,2006
1889,470379802001,,,
