,name,common_nam,year_estab,status,acres,geometry
0,Harpeth River Park,Harpeth River,1988,PARK,69.86,"MULTIPOLYGON (((-86.95546524763979 36.07930145579854, -86.95577768867267 36.0791390934377, -86.95554165522448 36.07881679726515, -86.95555002481612 36.07876336296327, -86.95547131924887 36.07872072961796, -86.95532248405858 36.07851744306786, -86.95528618171004 36.07845372197693, -86.95525327758185 36.07839107173579, -86.95523923349029 36.07834887403824, -86.95522977080738 36.07832175489392, -86.95522131619775 36.07829407526238, -86.95521421491281 36.07826638490727, -86.95520846364511 36.07823840895774, -86.95520406570714 36.07821042318611, -86.95520101888307 36.0781821509104, -86.9551993253869 36.07815386881271, -86.95519898519579 36.07812557509128, -86.95519999833 36.07809727154806, -86.95520236476608 36.07806895638105, -86.9552057503346 36.07804090893737, -86.955210827808 36.0780128471868, -86.9550086936845 36.07817351059672, -86.95500864747362 36.07817345327956, -86.95499806745696 36.07816107206578, -86.9549716235682 36.07813012168268, -86.95500338104712 36.07803322156244, -86.95506008942512 36.07786019964115, -86.95503597573529 36.07765599818742, -86.95502176365142 36.07752942922687, -86.95501930046494 36.07750751023185, -86.95497414799489 36.07739775413631, -86.95487567740793 36.07715838265404, -86.954855900453 36.07711337110533, -86.95479773802765 36.07698098278918, -86.95446097491786 36.0762166371761, -86.95432255565275 36.07594793483599, -86.95426139788222 36.07582921656225, -86.95412593092155 36.07559513025458, -86.95321095830892 36.07605290574495, -86.95246186484025 36.07657309595996, -86.95233958566739 36.07670599750546, -86.95212780854361 36.07693616681101, -86.95212778278197 36.07693613496397, -86.9519116950862 36.07667414437118, -86.95147948511014 36.0761500958906, -86.95265459850435 36.07593862544561, -86.95337655005882 36.07518788319594, -86.95415736971013 36.07415535920362, -86.95400335317387 36.07395438567221, -86.9539480086185 36.07388257279686, -86.95423597974009 36.07371299036352, -86.95460427106983 36.07349716801497, -86.95470543382183 36.07369279031701, -86.95477516692017 36.07386366211637, -86.95487864180328 36.074026574502, -86.95519818472926 36.07448447043898, -86.95533844589661 36.0746668706329, -86.95548652467536 36.07482393464099, -86.95565317740225 36.07506216775781, -86.95574477035935 36.07519330610828, -86.9558005518829 36.07527308153991, -86.95607907086857 36.07561152351611, -86.95621422792132 36.07553820121334, -86.95633593908327 36.07547240225207, -86.9561780992548 36.07526349452539, -86.95604365828585 36.07505907158266, -86.95604055694916 36.07505442381768, -86.95627710331861 36.07494211086328, -86.95627738318926 36.07494248719095, -86.95631365573124 36.07499116279827, -86.95657566052959 36.07534275670214, -86.95660524807738 36.07538290485036, -86.95663551063365 36.07542304853622, -86.95666610850478 36.07546291465543, -86.95669670420781 36.0755025058863, -86.95672797160076 36.07554181688091, -86.95675991732564 36.0755811224839, -86.95679185867215 36.07562015411654, -86.95682447393028 36.07565890549405, -86.95685708921128 36.07569765596117, -86.95689037510412 36.07573585220227, -86.95692399963666 36.07577404664733, -86.95695795836563 36.07581196263093, -86.95699225241243 36.07584960104541, -86.95702722258569 36.07588723498394, -86.95706218727831 36.07592431916014, -86.95709782809004 36.0759613979585, -86.95713346673227 36.07599820186572, -86.95716977818013 36.07603472552263, -86.95720642383557 36.07607097161739, -86.95724340924565 36.0761072159042, -86.95728072555035 36.07614290775707, -86.95731838048904 36.07617859690891, -86.95735636743352 36.07621373361717, -86.95739469300861 36.0762488676241, -86.95743335280518 36.07628372496802, -86.95747268651046 36.07631830114838, -86.95751201694657 36.07635260334531, -86.95755168270234 36.07638662796843, -86.95759168378869 36.07642037591825, -86.95763235767299 36.07645384271166, -86.9576730282888 36.07648703552062, -86.95771403752708 36.07652022472475, -86.95775537878252 36.07655286238311, -86.95779739396794 36.07658522067653, -86.95783940475282 36.07661730319111, -86.95788175418211 36.07664938390189, -86.95792443561716 36.07668091216435, -86.95796745237153 36.0767121628494, -86.95801080444568 36.07674313595685, -86.95805449183902 36.07677383148619, -86.95809817816638 36.07680452790976, -86.9581425350998 36.076834669192, -86.95818722735167 36.07686453289546, -86.95823191632191 36.07689412171081, -86.95827694061076 36.07692343294633, -86.95832263440413 36.07695218994908, -86.95836832823139 36.07698094693431, -86.95841435737545 36.07700942633901, -86.95846037993346 36.07703735688433, -86.95850707971499 36.07706528112656, -86.95855377290624 36.07709265650898, -86.95860113890843 36.07711975162594, -86.95864850162499 36.07714657185295, -86.95869619966946 36.07717311539818, -86.95874389442903 36.07719938405329, -86.95879226309494 36.07722537153078, -86.95884062518178 36.07725081104878, -86.95888932477925 36.0772762469615, -86.9589383574957 36.07730113131091, -86.95898738580587 36.07732573987657, -86.96003623108817 36.07674597883629, -86.96152876467529 36.0759187207271, -86.9624874062775 36.07705829332496, -86.96317814916253 36.07641982662808, -86.96320022580205 36.07639849662891, -86.96322229910675 36.07637689265535, -86.96324369519434 36.07635529318742, -86.96326508794715 36.07633341974553, -86.96328613986725 36.07631127412527, -86.9633071906654 36.07628912851008, -86.96332756203174 36.07626671342248, -86.96334793005562 36.07624402345981, -86.96336795947909 36.07622133710078, -86.96338765028499 36.07619865254289, -86.96340699693503 36.07617542183755, -86.96342600718785 36.07615246781361, -86.96344501188536 36.07612896493667, -86.96346367797369 36.07610546476258, -86.96348200545357 36.07608196729154, -86.96349998765766 36.07605792278123, -86.96351763460004 36.07603415674692, -86.9635349406995 36.07601011763471, -86.96355190486757 36.07598580725622, -86.96356886901665 36.07596149597417, -86.96358549123403 36.07593691342586, -86.96360143625004 36.07591233628786, -86.96361737901927 36.0758874833663, -86.96363298208531 36.07586263405927, -86.96364824765351 36.07583778744777, -86.96366317129319 36.07581266957074, -86.96367809158026 36.07578727591915, -86.96369233577478 36.07576188767022, -86.96370624026521 36.07573650303618, -86.96372014251089 36.07571084261925, -86.9637333675676 36.07568518851522, -86.96374658927265 36.07565925863715, -86.96375947571754 36.07563360723695, -86.96377201688995 36.07560740879956, -86.96378388197414 36.07558121576577, -86.96379574704928 36.07555502273058, -86.96380727352265 36.07552883240117, -86.96381845806047 36.07550236990641, -86.96382930510521 36.07547591010851, -86.96383981243791 36.07544945302539, -86.96384997894465 36.0754227237684, -86.96385980686122 36.07539599811852, -86.96386963476024 36.07536927156676, -86.96387878325071 36.0753422764493, -86.96388759201993 36.07531528314599, -86.96389605997545 36.07528801857025, -86.96390418933144 36.07526075670113, -86.96391164259386 36.07523349933565, -86.963919094752 36.07520624287973, -86.96392620608677 36.07517871425026, -86.96393297771328 36.07515118833648, -86.96393941185207 36.07512366512076, -86.96394550850216 36.07509614460299, -86.96395126211253 36.07506835192988, -86.96395668157005 36.07504083682609, -86.963961757986 36.07501304956696, -86.96396649691565 36.07498526500583, -86.96397089836005 36.07495748314327, -86.96397495677347 36.07492943002632, -86.96397868102838 36.07490165357791, -86.96398206557747 36.0748738798458, -86.96398510930703 36.07484583394042, -86.96398781556395 36.07481779163492, -86.96399018544106 36.07479002601551, -86.96399255198141 36.0747619855247, -86.96399424245838 36.07473395134105, -86.96399559433168 36.07470591896345, -86.96399660761273 36.07467788929326, -86.96399728342297 36.07464986322281, -86.96399761952085 36.07462183896733, -86.96399761813791 36.07459381741047, -86.96399727817497 36.07456579946219, -86.96399693820133 36.07453778061235, -86.96399592215722 36.07450976716877, -86.96399456642391 36.07448175734242, -86.96399287320061 36.07445374931357, -86.96399084138818 36.07442574399199, -86.9639884709985 36.07439774227881, -86.96398576311931 36.07436974236281, -86.96398305413216 36.07434174245554, -86.96397967241262 36.07431402282551, -86.96397594878189 36.07428603193267, -86.96397188988713 36.07425831771706, -86.96396748907343 36.07423033133723, -86.96396309270663 36.07420261981958, -86.96395801916478 36.07417491371634, -86.96395260704844 36.07414721122146, -86.96394685633602 36.07411951053255, -86.9639411089627 36.07409208471431, -86.96393468218982 36.07406438943026, -86.96404451133525 36.07405197266868, -86.96405904065217 36.07405020799003, -86.96422435275063 36.07403652355398, -86.96435814937469 36.07401924513842, -86.96454296943955 36.07399578908448, -86.96466563763092 36.074511277829, -86.96467383658228 36.07454555193777, -86.9650989847258 36.0763099610576, -86.96511329394986 36.07637358135602, -86.96246189012689 36.0776337570985, -86.96213449689778 36.07778938839139, -86.95813332497777 36.07969070920494, -86.95607889473706 36.07928065675595, -86.95456340946807 36.07978496000173, -86.95493766552086 36.07958447380317, -86.95511991436892 36.07948660419003, -86.95546121295207 36.07930368515166, -86.95546524763979 36.07930145579854)))"
1,Harpeth Knoll Park,Harpeth Knoll,1972,PARK,9.88,"MULTIPOLYGON (((-86.93859800765368 36.06077236818536, -86.93742235737541 36.06000571247971, -86.93739540825754 36.05998842502935, -86.93736884968412 36.05997074427036, -86.9373426894887 36.05995267554988, -86.93731693662428 36.05993422510755, -86.9372916000474 36.05991539918337, -86.93726668648961 36.05989620403433, -86.9372422071141 36.05987664498166, -86.93721816644808 36.05985672920078, -86.93719457455275 36.05983646292304, -86.93717143928367 36.05981585329791, -86.93714876626461 36.05979490659108, -86.93712656555935 36.05977362903375, -86.93710484282374 36.05975202959517, -86.93708360589083 36.05973011362261, -86.93706286040597 36.05970788918416, -86.93704261533321 36.05968536342092, -86.93702287519731 36.05966254350825, -86.93700364785184 36.05963943659583, -86.93698493894348 36.05961605075175, -86.93696675411564 36.05959239404425, -86.93694910121248 36.05956847272149, -86.93693198479049 36.05954429666281, -86.93691541047295 36.05951987213383, -86.93689938281635 36.05949520901364, -86.93688390854362 36.05947031265801, -86.93686899333152 36.05944519383897, -86.93669947887521 36.05915327605786, -86.93669753967285 36.05914894503251, -86.9366950525435 36.05913890578965, -86.93669444244983 36.05912867710563, -86.93669572433208 36.05911849050037, -86.93669886867607 36.05910857333181, -86.93670380597381 36.05909914966407, -86.93671042329788 36.05909043308279, -86.93671857308323 36.05908261761373, -86.93672807093371 36.05907588044432, -86.93673870329077 36.05907037285104, -86.93692984991996 36.05898317473427, -86.93696011682844 36.05896961634601, -86.93699016915463 36.05895574686519, -86.93702000249047 36.05894156903007, -86.93704961130734 36.05892708468634, -86.93707899119737 36.05891229657232, -86.93710813773116 36.05889720562413, -86.93713704541193 36.05888181639107, -86.93716570981024 36.058866129809, -86.93719412762984 36.0588501486077, -86.93722229224046 36.05883387554282, -86.93725020035656 36.05881731424531, -86.93727784754788 36.05880046565105, -86.93730522830745 36.05878333340825, -86.93733233934807 36.05876592114802, -86.93735138896736 36.05875336291824, -86.9373737577353 36.0587371520166, -86.93739355242576 36.05872245189035, -86.93739916875289 36.05871828113001, -86.93742429596229 36.05869915917808, -86.93744913387712 36.05867979161194, -86.93747368030124 36.05866018025107, -86.93749793081288 36.05864032693288, -86.93752188324854 36.05862023618084, -86.93754553208827 36.05859991074203, -86.93756887514498 36.05857935333749, -86.9375919080003 36.05855856580441, -86.93761462849737 36.05853755356755, -86.93763703222044 36.05851631846412, -86.93765911586853 36.05849486322379, -86.93768087726654 36.05847319146886, -86.9377023120071 36.05845130593783, -86.93772341681203 36.05842921116285, -86.93774418949448 36.05840690986499, -86.93776462674586 36.05838440387285, -86.93778472641033 36.05836169861117, -86.93780448297044 36.05833879682691, -86.93782389534867 36.05831570123276, -86.93784296136745 36.05829241545069, -86.93786167662923 36.0582689431205, -86.93788003784847 36.05824528787328, -86.93789804506825 36.05822145331382, -86.93791569276915 36.05819744218932, -86.93793297989569 36.05817325901469, -86.93794990426007 36.05814890651092, -86.93870354945992 36.05847929486148, -86.93899196151655 36.05860671556134, -86.93901402841126 36.05870983782059, -86.93903978224735 36.05883019316123, -86.93909218415691 36.05907507350192, -86.93914415164731 36.05931792024188, -86.93919749648055 36.05956720325617, -86.93925040224863 36.05981443467898, -86.93930137207808 36.06005262032686, -86.93908206497483 36.06027630189281, -86.93859800765368 36.06077236818536)))"
2,Bellevue Park,Red Caboose,1982,PARK,17.14,"MULTIPOLYGON (((-86.93207208588274 36.06954365963929, -86.93282786741668 36.06889607287297, -86.93284095734961 36.06888690536506, -86.93285576693323 36.06888019772391, -86.93287229726556 36.06887594903933, -86.93288919841591 36.06887444465496, -86.93290647038765 36.06887568457109, -86.93292276213765 36.0688799541409, -86.93293773086563 36.06888670622304, -86.93295069398991 36.06889567120339, -86.93296131194545 36.06890657771452, -86.93296890437132 36.06891915612519, -86.93523744083316 36.07352342816443, -86.93531920062239 36.07379970911521, -86.93516351800515 36.07391300108487, -86.93513027331561 36.07390611615222, -86.93509737156594 36.07389950344734, -86.93506413012206 36.07389289336852, -86.93503088979458 36.07388628327191, -86.93499765159824 36.07387994804682, -86.93496441451654 36.07387361280396, -86.93493118067468 36.07386755242413, -86.93489794248272 36.07386121627042, -86.93486471188562 36.07385543074432, -86.93483147693831 36.07384936944439, -86.93479790776216 36.07384358652551, -86.93476467929312 36.07383807495147, -86.9347311101161 36.0738322911127, -86.93469754417708 36.07382678213686, -86.93466431895635 36.0738215454073, -86.93463075626011 36.07381631128499, -86.93459719356979 36.07381107715333, -86.93456363411646 36.07380611788447, -86.93453007355724 36.0738011586149, -86.9344965141124 36.07379619932743, -86.93446261930499 36.07379151662612, -86.93442906310173 36.07378683219199, -86.93439550690189 36.0737821477484, -86.93436161533982 36.07377773989095, -86.93432806125969 36.07377332940813, -86.93429417293653 36.07376919640382, -86.93426062321764 36.07376506166712, -86.93422673490242 36.07376092864383, -86.93419284982269 36.07375707048315, -86.93415930333485 36.07375320968913, -86.93412542038358 36.07374962639029, -86.93409153853483 36.07374604217209, -86.93405765669881 36.07374245884554, -86.93402377809907 36.07373915038173, -86.93398989949085 36.0737358410072, -86.93395602089502 36.07373253252434, -86.93392214552439 36.0737294980028, -86.93388827016602 36.07372646437311, -86.9338540594424 36.07372370732764, -86.93382018730929 36.07372094764978, -86.93378631517824 36.07371818796238, -86.93375210769206 36.07371570576031, -86.93371993062736 36.07371320782183, -86.93206432703826 36.07026677646288, -86.93237432099227 36.0701544923035, -86.93207208588274 36.06954365963929)))"
